"","organization_marketing_name","plan_name","h_number","contract_number","plan_id","plan_type","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik, Inc.","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","H0034","001","HMO/HMOPOS",162,357,736,0,NA,28,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,45,NA,NA,NA,NA,NA,0,NA,NA,NA,82,NA,NA,NA,NA,33,0,20,NA,NA,NA,NA,170,NA,NA,NA,0,13,0,19,141,NA,0,NA,NA,NA,NA,NA,0,74,NA,NA,57,NA,NA,NA,54,NA,NA
"2","UnitedHealthcare","UnitedHealthcare Dual Complete Choice (PPO D-SNP)","H0271-060","H0271","060","Local PPO",1976,2451,5213,56,18,381,68,38,21,75,38,12,62,24,25,19,115,454,24,29,23,17,17,0,21,42,651,0,23,19,416,15,222,381,98,88,177,48,113,32,34,0,18,460,41,103,68,44,46,0,0,18,54,47,NA,36,14,NA,68,32,23,48,185,12,0
"3","MetroPlus Health Plan","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","H0423","001","HMO/HMOPOS",9318,9318,9318,0,NA,2176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3197,NA,NA,NA,NA,NA,0,1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,2211,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"4","Empire BlueCross BlueShield","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","H1732","003","HMO/HMOPOS",12279,15407,15649,NA,NA,1715,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,3298,NA,NA,NA,NA,NA,1223,1600,0,NA,NA,NA,242,NA,NA,NA,0,4974,NA,692,114,NA,NA,NA,NA,NA,NA,NA,1145,0,NA,NA,NA,NA,NA,NA,646,NA,NA
"5","VillageCareMAX","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","H2168","001","HMO/HMOPOS",462,462,462,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,0,93,NA,NA,NA,NA,0,NA,NA,NA,NA,107,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"6","VillageCareMAX","VillageCareMAX Medicare Health Advantage FLEX (HMO D-SNP)","H2168-003","H2168","003","HMO/HMOPOS",47,47,47,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"7","Aetna Medicare","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","H3312","069","HMO/HMOPOS",5923,9505,9505,NA,NA,885,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2028,NA,NA,NA,NA,NA,1059,938,NA,NA,NA,NA,0,NA,NA,NA,NA,1563,NA,509,246,NA,NA,NA,NA,NA,NA,NA,1382,NA,NA,NA,0,NA,NA,NA,895,NA,NA
"8","EmblemHealth Medicare HMO","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","H3330","042","HMO/HMOPOS",15208,20075,20644,41,NA,3633,0,NA,NA,NA,NA,NA,NA,0,NA,0,91,NA,NA,NA,NA,NA,12,NA,0,NA,4028,NA,NA,NA,NA,NA,1555,2400,0,NA,0,NA,281,NA,NA,NA,21,4381,0,766,179,0,11,NA,NA,NA,NA,NA,1648,46,NA,NA,66,0,0,NA,1485,NA,NA
"9","Elderplan","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","H3347","002","HMO/HMOPOS",3962,4083,4083,NA,NA,893,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586,NA,NA,NA,NA,NA,65,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA
"10","Healthfirst Medicare Plan","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","H3359","021","HMO/HMOPOS",140656,148776,149171,0,NA,39701,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,35812,NA,NA,NA,0,NA,4695,30434,NA,NA,0,NA,338,NA,NA,0,0,32008,NA,2701,182,NA,0,NA,NA,0,0,NA,52,57,NA,NA,0,NA,NA,NA,3191,NA,NA
"11","UnitedHealthcare","UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP)","H3387-014","H3387","014","HMO/HMOPOS",70751,82556,124158,943,268,9863,1461,408,422,1061,626,254,725,190,197,100,1047,6592,170,116,49,450,144,11,181,1242,23310,182,482,350,8533,176,4099,12386,1497,1251,3154,835,1481,381,662,22,142,22308,505,2884,753,409,610,46,77,302,192,595,3920,582,224,0,647,262,241,753,3033,197,155
"12","UnitedHealthcare","UnitedHealthcare Dual Complete Plan 2 (HMO-POS D-SNP)","H3387-015","H3387","015","HMO/HMOPOS",2827,3672,7874,74,33,237,201,56,47,119,55,29,106,15,28,16,68,729,24,21,0,52,19,0,22,114,870,31,64,29,837,14,299,350,174,95,223,81,112,55,75,0,14,1265,28,105,51,40,44,0,11,34,24,68,324,47,28,NA,59,27,22,76,171,30,32
"13","Humana","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","H3533","034","HMO/HMOPOS",7549,11377,11377,NA,NA,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2237,NA,NA,NA,0,NA,1373,1278,NA,NA,NA,NA,NA,NA,NA,NA,NA,2648,NA,807,NA,NA,0,NA,NA,NA,NA,NA,2455,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"14","AgeWell New York","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","H4922","003","HMO/HMOPOS",16,56,56,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"15","VNS Health Medicare","VNS Health EasyCare Plus (HMO D-SNP)","H5549-011","H5549","011","HMO/HMOPOS",2153,2266,2266,NA,NA,672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,NA,NA,NA,NA,NA,44,353,NA,NA,NA,NA,0,NA,NA,NA,NA,324,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,40,NA,NA
"16","Wellcare by Fidelis Care","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","H5599","001","HMO/HMOPOS",18059,25936,45182,844,103,2831,355,258,285,0,397,392,414,231,211,353,682,1840,174,308,382,0,224,21,493,0,5703,130,NA,0,0,414,1859,2641,922,1913,1482,0,410,86,767,240,166,5699,367,1185,1326,408,877,97,125,53,724,492,2744,180,178,0,521,318,299,0,1948,71,39
"17","Humana","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","H5970","026","Local PPO",1297,1297,1297,NA,NA,1271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","EmblemHealth Medicare HMO","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","H5991","010","HMO/HMOPOS",1085,1085,1085,NA,NA,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,NA,NA,NA,0,NA,0,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"19","Senior Whole Health of New York","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","H5992","008","HMO/HMOPOS",0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"20","Centers Plan for Healthy Living","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","H6988","002","HMO/HMOPOS",750,766,766,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,NA,NA,NA,NA,NA,16,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
