"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","41","76","231","0","","20","","","","","","","0","","","18","","","","0","","0","","","","0","","","","","0","0","0","","","","52","","","","0","0","0","21","35","","0","","","","","","","51","","","34","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8929","8929","8929","0","","2151","","","","","","","0","","","","","","","","","","","","","3113","","","","","","0","1572","","","0","0","","","","0","2011","","82","","","","","","","","","","","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","6037","7301","7422","","","1062","","","","","","","","","","0","","","","","","","","","","1587","","","","","","484","811","","","","121","","","","0","2241","","336","41","","","","","","","","477","0","","","0","","","","262","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","551","551","551","","","56","","","","","","","","","","","","","","","","","","","","150","","","","","","","78","","","","0","","","","","267","","0","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","2789","4294","4294","","","468","","","","","","","","","","0","","","","","","","","","","1001","","","","","","394","451","","","","","","","","0","679","","190","118","","","","","","","","561","","","","","","","","432","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","21896","27706","28606","54","","5892","0","","","","","","14","","0","154","0","","0","","","23","","","","5593","","","","0","0","1753","3494","","","0","377","","","","29","5943","11","974","274","0","59","","","","","","1706","67","","","112","0","0","","2077","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4499","4635","4635","0","","1234","","","","","","","","","","","0","","","","","","","","","1611","","","","","","65","567","","","","0","","","","","1087","","","","","","","","","","","","","","","","","","","71","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","124309","129864","130233","0","","34854","0","","","","","","","","","0","0","","","","","","","","","32514","","","","0","","3399","28100","0","","0","292","","","","0","26625","0","2216","91","","0","","","","","","38","77","","0","0","","","","2027","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","25","96","96","","","0","","","","","","","","","","","","","","","","","","","","0","","","","","","71","0","","","","","","","","","25","","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","17868","24612","42156","809","71","2673","301","180","248","323","358","297","228","178","289","760","1891","129","204","323","0","200","12","480","0","5613","108","0","0","0","400","1565","2768","848","1809","1343","381","61","681","216","186","5735","360","1079","1097","337","864","75","127","52","640","376","2336","142","161","","509","259","230","0","1746","52","46"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1149","1149","1149","","","390","","","","","","","","","","","","","","","","","","","","206","","","","","","0","237","","","","","","","","","316","","0","","","","","","","","","","","","0","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","845","845","845","","","223","","","","","","","","","","","","","","","","","","","","329","","","","","","0","68","","","","","","","","","177","","48","","","","","","","","","","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3380","3840","3890","","","395","","","","","","","","","","","","","","","","","","","","1205","","","","","","293","490","","","","50","","","","","943","","347","","","","","","","","","0","","","","","","","","167","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4199","5250","5677","0","","1022","0","","","","","","","","","0","","","","","","","","","","917","","","","","","406","744","","","","256","","","","","1245","","271","63","","","0","","","","","0","56","","","115","","","","582","",""
