"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","88","145","380","0","","25","","","","","","","","0","","","22","","","","0","","0","","","","41","","","","","0","0","0","","","","","118","","","","0","0","0","22","57","","0","","","","","","","54","","41","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8704","8704","8704","0","","2090","","","","","","","","","","","","","","","","","","","","","3027","","","","","","0","1533","","","0","","0","","","","0","1982","","72","","","","","","","","","","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","7660","9367","9536","","","1386","","","","","","","","","","0","0","0","","","","","","","0","","2105","","","","0","","638","1073","0","","","","169","","","","0","2631","","465","63","","","","","","","","632","0","","0","","","","374","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","475","475","475","","","51","","","","","","","","","","","","","","","","","","","","","136","","","","","","","68","","","","","0","","","","","220","","0","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","3515","5444","5444","","","592","","","","","","","","","","","","0","","","","","","","","","1249","","","","","","527","577","","","","","","","","","0","852","","245","152","","","","","","","","737","","","","","","","513","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","19837","25209","25990","51","","5138","0","","","","","","","12","","0","142","0","","0","","","19","","","","5096","","","","","0","1677","3216","","","0","","331","","","","24","5493","0","894","236","0","32","","","","","","1630","66","","104","0","0","","1829","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4377","4507","4507","0","","1183","","","","","","","","","","","","0","","","","","","","","","1567","","","","","","63","553","","","","","0","","","","","1074","","","","","","","","","","","","","","","","","","67","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","126428","132358","132729","0","","35572","0","","","","","","","","","","0","0","","","","","","","","","32882","","","","0","","3512","28301","","0","0","","295","","","","0","27384","","2289","113","","0","","","","","","38","76","","0","","","","2267","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","60808","69805","101985","672","168","8930","1243","301","304","851","406","189","490","101","145","69","723","5474","127","0","0","341","118","0","125","1008","19220","118","372","248","7357","102","3731","11219","1186","841","2716","606","1093","265","437","0","69","19030","350","2409","607","267","413","20","53","210","","386","2449","410","144","461","206","161","570","2210","156","108"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","4047","5024","9368","88","37","338","222","51","49","154","65","41","112","0","28","12","55","776","26","","0","51","19","0","21","121","1227","33","57","35","919","12","385","522","175","97","262","90","115","42","64","","0","1819","28","141","56","49","53","0","0","28","","61","339","46","16","61","24","13","78","197","30","28"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","6709","9680","9680","","","717","0","","","","","","","","","","","","","","","","","","","","1933","","","","","","1170","1148","","","","","","","","","","2267","","644","0","","0","","","","","","1801","","","","","","","0","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","25","91","91","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","66","0","","","","","","","","","","25","","","","","","","","","","","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","623","635","635","","","174","","","","","","","","","","","","","","","","","","","","","235","","","","","","0","115","","","","","","","","","","77","","22","","","","","","","","","0","","","","","","","12","",""
"14","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","18588","25778","45054","871","89","2846","329","226","274","","374","376","365","246","206","322","796","1991","154","249","377","","221","15","507","0","5846","121","0","0","0","437","1662","2831","901","1927","1514","","440","73","753","239","192","5923","405","1142","1186","382","914","90","135","54","677","442","2505","166","178","576","301","263","0","1837","63","45"
"15","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","411","411","411","","","399","","","","","","","","","","","","0","","","","","","","","","","","","","","","","12","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"16","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1071","1071","1071","","","361","","","","","","","","","","","","","","","","","","","","","226","","","","","","0","247","","","","","","","","","","237","","0","","","","","","","","","","","","","","","","","",""
"17","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","0","",""
"18","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","919","946","946","","","257","","","","","","","","","","","","","","","","","","","","","350","","","","","","27","69","","","","","","","","","","193","","50","0","","","","","","","","","","","","","","","","",""
"19","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3252","3697","3741","","","389","","","","","","","","","","","","","","","","","","","","","1165","","","","","","287","473","","","","","44","","","","","882","","343","","","","","","","","","0","","","","","","","158","",""
"20","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4065","5111","5513","0","","980","","","","","","","","","","","0","","","","","","","","","","892","","","","","","403","720","","","","","244","","","","","1217","","256","59","","","0","","","","","0","51","","107","","","","584","",""
