"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","98","234","524","0","","21","","","","","","","","0","","","39","","","","0","","0","","","","56","","","","","0","0","0","","","","","135","","","","0","0","0","21","106","","0","","","","","","","61","","","55","","","","30","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8751","8751","8751","","","2112","","","","","","","0","","","","","","","","","","","","","","2988","","","","0","","0","1545","","","0","","","","","","0","2030","","76","","","","","","","","","","","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","9045","11168","11362","","","1539","0","","","","","","","","","","","0","","","","","","","0","","2509","","","","","","810","1244","","","","0","194","","","","0","3190","","563","78","","0","","","","","","783","","","","0","","","0","452","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","448","448","448","","","68","","","","","","","","","","","","","","","","","","","","","139","","","","","","","65","","","","","0","","","","","176","","0","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","3794","6031","6031","","","624","","","","","","","","","","0","","","","","","","","","","","1312","","","","","","628","645","","","0","","","","","","0","910","","303","170","","","","","","","","867","","","","","","","","572","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","18096","23174","23857","46","","4574","0","","","","","","","0","","0","122","0","","","","","20","","","0","4765","","","","","0","1622","2915","","","","","296","","","","20","4984","0","858","202","0","20","","","","","","1573","60","","","99","0","0","","1681","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4399","4532","4532","","","1167","0","","","","","","","","","","","","","","","","","","","","1610","","","","","","69","553","","","","","0","","","","","1069","","","","","","","","","","","0","","","","","","","","64","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","130395","136908","137329","0","","36562","0","","","","","","","","","","0","0","","0","","","","","","","33734","","","","0","","3801","28878","","","","","336","","","","0","28770","","2451","131","0","0","","","","","","46","85","","","0","","","0","2535","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","63569","73150","107542","743","202","9113","1296","324","328","900","448","203","532","111","152","79","812","5694","145","0","0","370","125","0","150","1062","20172","123","401","283","7702","114","3788","11806","1266","952","2893","659","1177","286","496","0","92","19926","379","2552","630","304","464","29","56","232","0","430","2710","442","163","0","490","223","178","598","2453","162","122"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","3371","4277","8604","91","37","277","212","50","48","153","68","32","119","12","26","16","59","770","24","0","0","48","17","0","21","123","1039","33","56","34","889","12","338","427","175","99","257","81","116","45","66","","11","1504","29","124","51","45","56","0","0","31","","64","333","46","19","","63","25","15","76","184","31","27"
