"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","0","12","68","0","","0","","","","","","","0","","","0","","","","","0","","","","0","","","","","0","0","0","","","","","24","","","","0","0","0","0","12","","0","","","","","","","19","","13","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8008","8008","8008","","","1973","","","","","","","","","","","0","","","","","","","","2846","","","","","","","1415","","","","","","","","","","1716","","58","","","","","","","","","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","2664","3181","3224","","","377","","","","","","","","","","","","","","","","","","","622","","","","","","215","292","","","","","43","","","","","1222","","151","12","","","","","","","","165","0","","","","","","125","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","276","276","276","","","40","","","","","","","","","","","0","","","","","","","","77","","","","","","0","35","","","","","","","","","","124","","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","1293","1988","1988","","","180","","","","","","","","","","","","","","","","","","","519","","","","","","178","197","","","","","","","","","","300","","97","60","","","","","","","","279","","","","","","","178","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","21129","26613","27445","39","","5536","0","","","","0","","0","","0","170","0","","0","","16","","","","5506","","","","","","1686","3459","","","0","","362","","","","26","5688","0","940","248","0","26","","","","","","1695","58","","135","0","0","","1855","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4070","4211","4211","","","1037","","","","","","","","","","","","","","","","","","","1511","","","","","","55","568","","","","","","","","","","954","","0","","","","","","","","","","","","","","","","86","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","116418","121183","121470","0","","32402","0","","","","","","","","0","0","0","","","","","","","0","30760","","","","0","","2904","27141","","","0","","222","","","","0","24204","0","1911","40","0","0","","","","","","56","65","","0","","","","1765","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","33","117","117","","","0","","","","","","","","","","","","","","","","","","","0","","","","","","84","0","","","","","","","","","","33","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","18251","24688","41921","822","60","2602","302","155","250","315","342","282","230","176","283","710","1917","125","166","323","197","0","474","0","5859","88","0","0","0","406","1437","3061","825","1881","1345","0","381","47","647","211","158","5692","361","1037","1061","319","888","59","127","52","577","325","2273","158","174","475","265","240","0","1666","47","48"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","842","842","842","","","162","","","","","","","","","","","","","","","","","","","166","","","","","","0","185","","","","","","","","","","329","","0","","","","","","","","","","","","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","675","675","675","","","169","","","","","","","","","","","","","","","","","","","263","","","","","","0","53","","","","","","","","","","156","","34","","","","","","","","","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","4039","4563","4630","","","504","","","","","","","","","","","0","","","","","","","","1437","","","","","","328","580","","","","","67","","","","","1103","","415","","","","","","","","","0","","","","","","","196","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4808","5907","6320","0","","1135","","","","","","","0","","","0","","","","","","","","","1047","","","","0","","432","828","","","","","270","","","","","1499","","299","64","","","0","","","","","0","50","","93","","","","603","",""
