"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","0","19","106","0","","0","","","","","","","0","","","0","","","","","0","","","","0","","","","","0","0","0","","","","30","","","","0","0","0","0","19","","0","","","","","","","44","","13","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8153","8153","8153","","","1998","","","","","","","","","","","0","","","","","","","","2895","","","","","","0","1443","","","","","","","","","1757","","60","","","","","","","","","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","3127","3731","3782","","","456","","","","","","","","","","","","","","","","","","","759","","","","","","253","340","","","","51","","","","","1396","","176","17","","","","","","","","195","0","","","","","","139","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","306","306","306","","","38","","","","","","","","","","","0","","","","","","","","79","","","","","","0","38","","","","","","","","","151","","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","1475","2292","2292","","","218","","","","","","","","","","","","","","","","","","","570","","","","","","217","247","","","","","","","","","332","","108","71","","","","","","","","318","","","","","","","211","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","21198","26619","27437","41","","5592","0","","","","0","","11","","0","158","0","","0","","17","","","","5501","","","","","","1668","3414","","","0","351","","","","24","5748","0","943","246","0","25","","","","","","1654","59","","132","0","0","","1853","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4123","4269","4269","","","1067","","","","","","","","","","","","","","","","","","","1512","","","","","","57","576","","","","","","","","","968","","0","","","","","","","","","","","","","","","","89","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","116304","121069","121364","0","","32415","0","","","","","","","","","0","0","","","","","","","0","30688","","","","","","2888","27000","","","0","228","","","","0","24235","","1966","48","","0","","","","","","35","67","","0","","","","1794","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","33","118","118","","","0","","","","","","","","","","","","","","","","","","","0","","","","","","85","0","","","","","","","","","33","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","18328","24824","42081","823","58","2639","301","160","249","313","349","278","228","178","284","721","1928","131","174","322","200","0","481","0","5863","87","0","0","0","399","1450","3066","820","1870","1353","375","47","646","217","157","5721","358","1039","1064","316","892","59","119","51","581","339","2299","157","174","472","261","236","0","1683","45","48"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","952","952","952","","","198","","","","","","","","","","","","","","","","","","","187","","","","","","0","211","","","","","","","","","356","","","","","","","","","","","","","","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","704","704","704","","","181","","","","","","","","","","","","","","","","","","","282","","","","","","0","60","","","","","","","","","146","","35","","","","","","","","","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3961","4474","4539","","","492","","","","","","","","","","","0","","","","","","","","1402","","","","","","318","579","","","","65","","","","","1081","","407","","","","","","","","","0","","","","","","","195","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4664","5745","6167","0","","1139","","","","","","","0","","","0","","","","","","","","","1052","","","","0","","423","801","","","","265","","","","0","1381","","291","63","","","0","","","","","0","52","","105","","","","595","",""
