"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","18","42","156","0","","18","","","","","","","","0","","","12","","","","","0","","","","0","","","","","0","0","0","","","","32","","","","0","0","0","0","24","","0","","","","","","","47","","23","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8250","8250","8250","","","2017","","","","","","","","","","","0","0","","","","","","","","2924","","","","","","0","1450","","","","0","","","","","1799","","60","","","0","","","","","","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","3580","4260","4317","","","549","","","","","","","","","","","","","","","","","","","","885","","","","","","282","419","","","","57","","","","","1537","","190","18","","","","","","","","232","0","","","","","","148","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","339","339","339","","","43","","","","","","","","","","","","0","","","","","","","","80","","","","","","0","44","","","","","","","","","172","","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","1719","2688","2688","","","271","","","","","","","","","","","","","","","","","","","","630","","","","","","257","274","","","","","","","","","421","","123","84","","","","","","","","363","","","","","","","265","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","21368","26879","27723","50","","5642","0","","","","","0","","12","","0","159","0","","0","","18","","","","5559","","","","","","1695","3435","","","0","342","","","","24","5776","11","956","250","0","30","","","","0","","1658","67","","131","0","0","","1908","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4080","4222","4222","","","1068","","","","","","","","","","","","","","","","","","","","1458","","","","","","59","575","","","","","","","","","979","","0","","","","","","","","","","","","","","","","83","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","117556","122489","122802","0","","32930","0","","","0","","","","","","","0","0","","","","","","","0","30903","","","","0","","2990","27113","","0","0","244","","","","0","24598","","2012","60","","0","","","","","","37","69","","0","","","","1846","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","30","113","113","","","0","","","","","","","","","","","","","","","","","","","","0","","","","","","83","0","","","","","","","","","30","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","18302","24868","42234","828","60","2687","304","162","250","0","312","358","273","230","178","281","745","1927","130","182","321","198","0","490","0","5837","86","0","0","0","400","1469","2992","830","1868","1344","370","54","666","218","162","5716","360","1070","1087","320","892","64","119","53","589","344","2313","158","168","477","258","239","0","1697","48","50"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1047","1047","1047","","","254","","","","","","","","","","","","","","","","","","","","186","","","","","","0","224","","","","","","","","","383","","0","","","","","","","","","","","","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","790","790","790","","","212","","","","","","","","","","","","","","","","","","","","300","","","","","","0","67","","","","","","","","","170","","41","","","","","","","","","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3847","4351","4413","","","463","","","","","","","","","","","","0","","","","","","","","1367","","","","","","317","570","","","","62","","","","","1052","","395","0","","","","","","","","0","","","","","","","187","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4594","5686","6116","0","","1107","","","","","","","","","","","0","0","","","","","","","","1065","","","","0","","426","792","","","","273","","","","0","1341","","289","63","0","","0","","","","","0","47","","110","","","","603","",""
