"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","50","81","215","0","","27","","","","","","","","0","","","14","","","","0","","0","","","","0","","","","","0","0","0","","","","","37","","","","0","0","0","23","31","","0","","","","","","","52","","31","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8718","8718","8718","","","2098","","","","","","","","","","","0","","","","","","","","","","3100","","","","","","0","1503","","","0","","0","","","","","1945","","72","","","","","","","","","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","5363","6400","6491","","","948","","","","","","","","","","","","","","","","","","","","","1394","","","","","","399","690","","","","","91","","","","0","2047","","284","34","","","","","","","","372","0","","0","","","","232","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","566","566","566","","","67","","","","","","","","","","","","","","","","","","","","","159","","","","","","","73","","","","","0","","","","","267","","0","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","2474","3778","3778","","","414","","","","","","","","","","","","","","","","","","","","","892","","","","","","345","406","","","","","","","","","","580","","182","109","","","","","","","","494","","","","","","","356","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","21950","27688","28552","56","","5857","0","","","","","","","16","","0","146","0","","0","","","20","","","","5675","","","","","","1742","3518","","0","0","","354","","","","29","5921","12","979","271","0","48","","","","0","","1725","67","","116","0","0","","2000","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4344","4480","4480","","","1172","","","","","","","","","","","","0","","","","","","","","","1549","","","","","","54","587","","","","","0","","","","","1036","","","","","","","","","","","","","","","","","","82","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","121625","126888","127221","0","","34057","","","","0","","","","","","","0","0","","","","","","","","","31809","","","","0","0","3228","27643","0","0","0","","265","","","","0","25994","","2122","77","","0","","","","","","28","68","","0","","","","1930","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","30","105","105","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","75","0","","","","","","","","","","30","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","18166","24890","42400","829","67","2698","306","172","243","0","312","357","284","222","181","287","769","1926","130","201","325","0","197","0","477","0","5744","100","0","0","0","408","1539","2855","846","1847","1339","0","368","60","670","219","180","5769","361","1100","1087","332","871","70","124","54","612","367","2356","148","171","490","261","231","0","1742","48","48"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1155","1155","1155","","","355","","","","","","","","","","","","","","","","","","","","","198","","","","","","0","258","","","","","","","","","","344","","0","","","","","","","","","","","","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","891","891","891","","","249","","","","","","","","","","","","","","","","","","","","","342","","","","","","0","76","","","","","","","","","","180","","44","","","","","","","","","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3538","3999","4052","","","414","","","","","","","","","","","","","","","","","","","","","1261","","","","","","295","515","","","","","53","","","","","978","","370","","","","","","","","","0","","","","","","","166","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4336","5427","5862","0","","1034","","","","","","","","","","","0","","","","","","","","","","965","","","","","","424","769","","","0","","267","","","","0","1285","","283","65","","","0","","","","","0","54","","114","","","","602","",""
