"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","42","75","229","0","","20","","","","","","","","0","","","18","","","","0","","0","","","0","","","","","0","0","0","","","","","48","","","","0","0","0","22","33","","0","","","","","","","54","","","34","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8735","8735","8735","","","2095","","","","","","","","","","","0","","","","","","","","","3083","","","","","","0","1516","","","0","","0","","","","","1971","","70","","","","","","","","","0","","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","5790","6942","7046","","","1034","","","","","","","","","","","","","","","","","","","","1539","","","","","","434","770","","","","","104","","","","0","2138","","309","38","","","","","","","","439","0","","","0","","","","241","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","589","589","589","","","58","","","","","","","","","","","","","","","","","","","","151","","","","","","","80","","","","","0","","","","","300","","0","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","2681","4104","4104","","","450","","","","","","","","","","","","","","","","","","","","975","","","","","","366","431","","","","","","","","","","637","","188","111","","","","","","","","536","","","","","","","","410","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","22034","27813","28718","57","","5925","11","","","","","","","15","","0","146","0","","0","","","23","","","5651","","","","0","","1755","3500","","0","0","","371","","","","28","5975","13","983","273","0","56","","","","0","","1719","69","","","116","0","0","","2032","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4370","4505","4505","","","1188","","","","","","","","","","","","","","","","","","","","1566","","","","","","57","573","","","","","0","","","","","1043","","0","","","","","","","","","","","","","","","","","78","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","122450","127847","128182","0","","34252","","","","0","","","","","","","0","0","","","","","","","","32008","","","","0","","3310","27781","0","0","0","","263","","","","0","26238","","2171","85","","0","","","","","","35","72","","","0","","","","1967","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","27","100","100","","","0","","","","","","","","","","","","","","","","","","","","0","","","","","","73","0","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","18086","24808","42305","812","68","2680","306","177","244","0","312","354","289","227","179","291","766","1904","128","204","324","0","201","11","480","5720","106","0","0","0","405","1546","2832","839","1829","1351","0","371","62","667","216","182","5757","361","1097","1094","336","866","69","125","52","622","368","2335","146","168","","498","255","229","0","1747","51","46"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1158","1158","1158","","","386","","","","","","","","","","","","","","","","","","","","199","","","","","","0","246","","","","","","","","","","327","","0","","","","","","","","","","","","0","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","886","886","886","","","241","","","","","","","","","","","","","","","","","","","","343","","","","","","0","74","","","","","","","","","","180","","48","","","","","","","","","","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3472","3941","3990","","","401","","","","","","","","","","","","","","","","","","","","1240","","","","","","299","499","","","","","49","","","","","968","","364","","","","","","","","","0","","","","","","","","170","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4267","5367","5797","0","","1027","","","","","","","","","","","0","","","","","","","","","939","","","","","","430","763","","","","","263","","","","0","1259","","279","65","","","0","","","","","0","55","","","112","","","","605","",""
