"","plan_name","h_number","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001",0,0,68,106,156,185,187,206,215,229,227,231,380,475,486,524,557,560,568,582,569,579,648,708,724,736
"2","UnitedHealthcare Dual Complete Choice (PPO D-SNP)","H0271-060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4302,5213
"3","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001",7760,7907,8008,8153,8250,8379,8509,8609,8718,8735,8780,8929,8704,8719,8726,8751,8827,8948,9096,9113,9233,9265,9331,9438,9292,9318
"4","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003",1694,2535,3224,3782,4317,4840,5515,6064,6491,7046,7334,7422,9536,10258,10723,11362,11924,12524,13022,13291,13506,13986,14302,14558,15257,15649
"5","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001",245,263,276,306,339,389,443,511,566,589,585,551,475,440,464,448,452,454,449,474,493,488,485,467,468,462
"6","VillageCareMAX Medicare Health Advantage FLEX (HMO D-SNP)","H2168-003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,47
"7","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069",1337,1753,1988,2292,2688,2974,3271,3575,3778,4104,4301,4294,5444,5703,5904,6031,6348,6535,6694,6894,6994,7172,7240,7300,9049,9505
"8","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042",27293,27383,27445,27437,27723,27905,28105,28418,28552,28718,28862,28606,25990,24792,24248,23857,23510,23285,23070,22690,22426,22133,21831,21691,20743,20644
"9","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002",4156,4182,4211,4269,4222,4255,4372,4449,4480,4505,4569,4635,4507,4502,4517,4532,4539,4532,4506,4480,4418,4348,4319,4379,4185,4083
"10","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021",119526,120681,121470,121364,122802,123660,124494,126158,127221,128182,129150,130233,132729,134861,136080,137329,138991,140166,141479,142790,144395,145787,146634,147937,148319,149171
"11","UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP)","H3387-014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101985,105193,106358,107542,109171,110408,111505,112788,114131,115697,117007,117775,121761,124158
"12","UnitedHealthcare Dual Complete Plan 2 (HMO-POS D-SNP)","H3387-015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9368,9255,8797,8604,8437,8392,8314,8229,8188,8128,8125,8122,7910,7874
"13","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9680,9908,10088,10222,10394,10482,10623,10784,10821,10919,10937,10827,11277,11377
"14","AgeWell New York FeelWell (HMO D-SNP)","H4922-003",124,124,117,118,113,109,106,105,105,100,99,96,91,90,94,91,91,88,81,88,85,77,65,63,62,56
"15","VNS Health EasyCare Plus (HMO D-SNP)","H5549-011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,880,997,1108,1242,1341,1429,1517,1602,1774,1819,1798,2118,2266
"16","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001",41880,41259,41921,42081,42234,42237,42320,42396,42400,42305,42221,42156,45054,43868,43934,44229,44429,44703,45010,44998,45428,45562,45665,46119,44808,45182
"17","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,496,577,637,712,772,819,878,910,955,981,988,1244,1297
"18","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010",337,653,842,952,1047,1066,1077,1119,1155,1158,1184,1149,1071,1036,995,979,978,959,942,919,894,877,860,850,1038,1085
"19","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002",720,650,675,704,790,846,877,910,891,886,863,845,946,959,927,950,944,924,897,873,826,809,789,767,811,766
"21","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007",4781,4700,4630,4539,4413,4294,4219,4139,4052,3990,3936,3890,3741,3674,3594,3533,3455,3397,3335,3253,3199,3128,3087,3059,2986,2919
"22","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028",7062,6681,6320,6167,6116,6070,6032,5915,5862,5797,5730,5677,5513,5318,5111,4951,4809,4693,4630,4500,4407,4359,4322,4281,4094,4030
