"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","oneida","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","0","0","0","","0","0","","0","","0","0","","0","0","0","","0","0","","","0","0","0"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","0","0","0","","0","","","0","","0","0","","0","","0","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2502","2502","2502","","598","","","805","","0","380","0","0","","719","","","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2193","2369","2369","","475","0","","889","","112","289","","0","0","489","","51","0","","0","","","64"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","15422","15885","15885","","5865","0","0","3383","","265","3837","","0","","2217","","120","0","","0","0","","198"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","0","0","0","","0","","","0","","0","0","","","","0","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2868","2988","2988","","767","0","","656","","68","767","","0","","579","","99","","","29","","","23"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","18","18","18","","0","","","18","","0","0","","","","0","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","16","16","","","","","0","","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","115","115","115","","40","","","35","","0","18","","","","22","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","11","11","11","","11","","","0","","0","0","","","","0","","0","0","","","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","153","153","153","","42","","","59","","0","0","","","","39","","13","0","","","","",""
