"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","56","80","107","","23","27","","33","","0","0","0","0","0","","0","13","","","0","0","11"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","101","101","101","","31","","","29","","0","16","0","","25","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2871","2871","2871","","583","","","954","","0","433","0","","901","","0","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2577","2772","2772","","643","0","","971","","120","362","0","0","546","","55","0","","0","","","75"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","18664","19284","19301","","7108","0","0","4119","","364","4604","17","","2675","","158","0","0","0","0","","256"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","12","39","39","","0","","","0","","27","0","","","12","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2883","3033","3033","","780","0","","668","","73","740","","","594","","101","","","53","","","24"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","139","139","139","","24","","","55","","0","22","","","38","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","17","17","","","","","0","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","112","112","112","","39","","","30","","0","17","","","26","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","55","55","55","","17","","","22","","0","16","","","0","","0","0","","0","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","637","678","678","","162","","","236","","41","41","","","152","","46","0","","","","",""
