"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","196","214","246","","","63","","","","","","","","","","32","","","","","","","58","","","","0","17","","","","0","","","","0","58","","0","0","","","","","","","","","0","","0","","","18","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","","0","","","","","","","","","","","","","","","","","0","","","","","0","","","","","","","","","0","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","161","175","175","","","39","","","","","","","","","","","","","","","","","47","","","","14","25","","","","0","","","","","36","","14","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2722","2722","2722","","","544","","","","","","","","","","","","","","","","","908","","","","0","415","","","","0","","","","","855","","0","","","","","","","","","0","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2756","2943","2943","","","693","","","","","","","","","","0","","","","","","","1052","","","","118","391","","","","0","","","","0","568","","52","0","","","","","","","","0","","","","","","69","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","20771","21476","21500","","","7877","","","","","","","","","","0","0","","","","","","4612","","","","409","5159","","","","24","","","","","2951","","172","0","","","","","","","","0","0","","","","","296","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","14","48","48","","","0","","","","","","","","","","","","","","","","","0","","","","34","0","","","","","","","","","14","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2802","2954","2954","","","771","","","","","","","","","","","","","","","","","658","","","","73","710","","","","","","","","","562","","101","","","","","","","","","53","","","","","","26","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","273","273","273","","","65","","","","","","","","","","","","","","","","","86","","0","","0","40","","","","","","","","","66","","16","0","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","42","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","","0","0","0","0","0","0","0","0","","0","","","0","20","0","0","0","0","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","118","118","118","","","37","","","","","","","","","","","","","","","","","36","","","","0","20","","","","","","","","","25","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","80","80","80","","","21","","","","","","","","","","","","","","","","","24","","","","0","22","","","","","","","","","13","","0","0","","","","","","","","","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","1088","1148","1148","","","286","","","","","","","","","","","","","","","","","419","","","","60","66","","","","","","","","","253","","64","0","","","","","","","","","","","","","","0","",""
