"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","oneida","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","0","0","0","","0","0","","0","","0","0","","0","0","0","","0","0","","","0","0","0"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","0","0","0","","0","","","0","","0","0","","0","","0","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2512","2512","2512","","598","","","814","","0","370","0","0","","730","","","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2113","2282","2282","","459","0","","854","","107","280","","0","0","471","","49","0","","0","","","62"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","14735","15166","15166","","5600","0","0","3248","","248","3626","","0","","2144","","117","0","","0","0","","183"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","0","0","0","","0","","","0","","0","0","","","","0","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2903","3028","3028","","770","0","","661","","72","789","","","","585","","98","","","30","","","23"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","17","17","17","","0","","","17","","0","0","","","","0","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","16","16","","","","","0","","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","116","116","116","","40","","","35","","0","19","","","","22","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","0","0","0","","0","","","0","","0","0","","","","0","","0","0","","","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","50","50","50","","17","","","20","","0","0","","","","13","","0","0","","","","",""
