"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","orange","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","12","12","12","","0","0","","12","","0","0","0","0","0","","0","0","","","","0","0","0"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","0","","0","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","79","79","79","","23","","","25","","0","13","0","","18","","0","0","","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2898","2898","2898","","618","","","941","","0","443","0","","896","","0","","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2519","2713","2713","","616","0","","972","","120","344","0","0","530","","57","0","","","0","","","74"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","17976","18556","18556","","6858","","0","3963","","332","4452","0","","2550","","153","0","0","","0","0","","248"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","12","35","35","","0","","","0","","23","0","","","12","","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2867","3016","3016","","764","0","","677","","75","746","","","579","","101","","","","45","","","29"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","77","77","77","","15","","","37","","0","0","","","25","","0","","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","16","16","","","","","0","","","","","","0","","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","110","110","110","","40","","","32","","0","17","","","21","","0","","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","50","50","50","","19","","","16","","0","15","","","0","","0","0","","","","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","526","558","558","","153","","","191","","32","36","","","117","","29","0","","","","","",""
