"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","87","111","139","","24","28","","41","","0","11","0","0","11","","0","12","","","0","0","12"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","117","117","117","","36","","","38","","0","18","0","","25","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2807","2807","2807","","573","","","933","","0","423","0","","878","","0","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2571","2768","2768","","638","0","","967","","122","365","0","0","544","","57","0","","0","","","75"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","18750","19376","19393","","7132","0","0","4144","","373","4636","17","","2685","","153","0","","0","0","","253"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","12","40","40","","0","","","0","","28","0","","","12","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2845","2991","2991","","771","0","","661","","72","726","","","589","","98","","","50","","","24"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","152","152","152","","27","","","59","","0","23","","","43","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","16","16","","","","","0","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","108","108","108","","37","","","30","","0","17","","","24","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","57","57","57","","18","","","23","","0","16","","","0","","0","0","","0","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","635","675","675","","164","","","234","","40","39","","","154","","44","0","","","","",""
