"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","86","101","129","","","26","","","","","","","","","","28","","","","","","","33","","","0","12","","","","0","","","","0","15","","0","0","","","","","","","","","0","","0","","","15","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","","0","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","0","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","118","131","131","","","34","","","","","","","","","","","","","","","","","38","","","13","16","","","","0","","","","","30","","0","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2798","2798","2798","","","566","","","","","","","","","","","","","","","","","929","","","0","418","","","","0","","","","","885","","0","","","","","","","","","","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2549","2738","2738","","","634","","","","","","","","","","0","","","","","","","964","","","117","360","","","","0","","","","0","535","","56","0","","","","","","","","0","","","","","","72","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","18955","19597","19614","","","7198","","","","","","","","","","0","0","","","","","","4210","","","378","4680","","0","","17","","","","","2717","","150","0","","","","","","","","0","0","","","","","264","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","13","42","42","","","0","","","","","","","","","","","","","","","","","0","","","29","0","","","","","","","","","13","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2848","2997","2997","","","772","","","","","","","","","","","","","","","","","670","","","74","726","","","","","","","","","581","","99","","","","","","","","","50","","","","","","25","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","157","157","157","","","30","","","","","","","","","","","","","","","","","55","","","0","26","","","","","","","","","46","","0","0","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","14","14","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","0","0","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","104","104","104","","","34","","","","","","","","","","","","","","","","","30","","","0","17","","","","","","","","","23","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","55","55","55","","","16","","","","","","","","","","","","","","","","","22","","","0","17","","","","","","","","","0","","0","0","","","","","","","","0","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","746","794","794","","","194","","","","","","","","","","","","","","","","","275","","","48","46","","","","","","","","","185","","46","0","","","","","","","","0","","","","","","0","",""
