"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","101","115","143","","","35","","","","","","","","","","28","","","","","","","30","","","","0","12","","","","0","","","","0","24","","0","0","","","","","","","","","0","","0","","","14","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","","0","","","","","","","","","","","","","","","","","0","","","","","0","","","","","","","","","0","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","152","165","165","","","44","","","","","","","","","","","","","","","","","41","","","","13","22","","","","0","","","","","33","","12","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2757","2757","2757","","","556","","","","","","","","","","","","","","","","","915","","","","0","413","","","","0","","","","","873","","0","","","","","","","","","","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2595","2784","2784","","","661","","","","","","","","","","0","","","","","","","973","","","","115","366","","","","0","","","","0","541","","54","0","","","","","","","","0","","","","","","74","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","19625","20288","20313","","","7450","","","","","","","","","","0","0","","","","","","4351","","","","383","4854","","","","25","","","","","2813","","157","0","","","","","","","","0","0","","","","","280","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","12","44","44","","","0","","","","","","","","","","","","","","","","","0","","","","32","0","","","","","","","","","12","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2781","2932","2932","","","761","","","","","","","","","","","","","","","","","655","","","","73","703","","","","","","","","","563","","99","","","","","","","","","53","","","","","","25","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","164","164","164","","","37","","","","","","","","","","","","","","","","","56","","0","","0","30","","","","","","","","","41","","0","0","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","15","15","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","","0","0","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","99","99","99","","","34","","","","","","","","","","","","","","","","","26","","","","0","16","","","","","","","","","23","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","68","68","68","","","19","","","","","","","","","","","","","","","","","21","","","","0","16","","","","","","","","","12","","0","0","","","","","","","","0","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","950","1009","1009","","","250","","","","","","","","","","","","","","","","","361","","","","59","59","","","","","","","","","226","","54","0","","","","","","","","","","","","","","0","",""
