"","plan_name","h_number","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002",0,0,0,0,0,0,0,12,33,61,80,111,101,110,115,145,190,214,262,301,342,408,452,480,504,543
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,25,26,37
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001",0,0,0,0,37,44,70,79,91,93,101,117,131,166,165,172,174,175,174,177,168,169,174,188,176,165
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002",2512,2502,2637,2725,2835,2859,2898,2898,2915,2894,2871,2807,2798,2774,2757,2734,2705,2722,2730,2678,2658,2638,2616,2577,2529,2540
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007",2282,2369,2434,2438,2588,2631,2663,2713,2748,2767,2772,2768,2738,2783,2784,2848,2904,2943,2982,3017,3042,3084,3090,3105,3080,3120
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034",15166,15885,16417,16880,17415,17743,18140,18556,18837,19165,19284,19376,19597,20102,20288,20560,20990,21476,21882,22045,22138,22218,22380,22544,22732,23114
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010",0,0,11,27,31,32,36,35,37,39,39,40,42,44,44,44,46,48,47,53,56,74,74,77,84,90
"8","VNS Health Total (HMO D-SNP)","H5549-003",3028,2988,2963,2941,2948,2955,3002,3016,3022,3049,3033,2991,2997,2948,2932,2909,2944,2954,2953,2986,2988,2986,2994,2954,3075,3100
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003",17,18,16,16,31,65,74,77,103,118,139,152,157,160,164,171,186,273,325,349,408,428,432,422,410,442
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007",116,115,114,113,112,109,109,110,110,110,112,108,104,100,99,104,109,118,123,128,145,139,136,132,136,139
"12","RiverSpring MAP (HMO D-SNP)","H6776-002",0,11,14,41,43,47,49,50,47,55,55,57,55,58,68,72,72,80,80,93,99,104,112,122,130,147
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004",50,153,276,378,443,494,507,558,602,633,678,675,794,920,1009,1066,1099,1148,1173,1192,1226,1251,1257,1229,1264,1336
